gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.258209,0.66001,0.911671,5.94236,0.999509
0.252539,0.678557,0.798396,5.93227,1.00177
0.248508,0.658273,1.00466,5.90953,1.00975
0.247815,0.66931,0.955817,5.93553,1.00021
0.250888,0.652132,0.962433,5.92844,0.999672
0.242311,0.662927,0.935337,5.94716,1.01077
0.240927,0.678683,1.03044,5.92586,1.01251
0.257577,0.678429,1.01724,5.94253,1.00557
0.252011,0.682475,0.95736,5.92721,1.00511
0.266474,0.658246,0.837711,5.92716,1.00849
0.256537,0.668049,0.918323,5.93928,1.0188
0.265303,0.683407,0.916716,5.93434,1.00222
0.254649,0.673625,0.967543,5.95145,1.00164
0.25111,0.662272,0.868617,5.93871,0.999308
0.256309,0.669985,0.922251,5.94773,1.01434
0.254943,0.660291,0.981005,5.91549,1.00846
0.253711,0.665397,0.900669,5.92339,1.00984
0.258892,0.665989,0.918979,5.94598,1.01722
0.25773,0.665617,0.985356,5.94416,1.00057
0.247046,0.658299,0.93593,5.90602,0.999861
0.25995,0.683308,1.00058,5.92298,0.997186
0.247908,0.694882,0.941782,5.93331,1.00729
0.260402,0.661131,0.89616,5.93261,0.998385
0.248631,0.670658,0.963578,5.92645,0.991847
0.255686,0.669254,0.910448,5.91951,1.00628
0.26321,0.655171,0.956391,5.93324,0.994777
0.261734,0.661251,1.02233,5.9383,1.00034
0.251981,0.66225,0.977046,5.92572,1.00953
0.2559,0.677071,0.976945,5.93139,0.996625
0.267723,0.678559,0.865699,5.9469,0.99975
0.256603,0.671807,0.921785,5.93477,1.00178
0.242374,0.663027,0.854138,5.92399,1.00684
0.261081,0.685427,1.03477,5.92721,1.0059
0.268029,0.660184,0.917444,5.93174,1.00442
0.258474,0.657166,0.920421,5.94434,0.999439
0.249907,0.667988,0.906487,5.93067,0.989384
0.254393,0.677102,1.03719,5.92674,1.003
0.254091,0.660728,0.977938,5.94822,1.00191
0.256152,0.704191,0.877059,5.92395,0.997685
0.244863,0.671918,0.958993,5.93015,0.999672
0.257007,0.671439,0.999898,5.91119,0.997154
