,gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
count,2000.0,2000.0,2000.0,2000.0,2000.0
mean,0.2549661,0.6715289485000001,0.934066237,5.928315905,1.0055737725
std,0.007184973664689471,0.00965711639820149,0.05029897382409213,0.01087504206662901,0.00785017392196161
min,0.23176,0.643675,0.762935,5.89211,0.981134
25%,0.2502395,0.66473925,0.90130475,5.9208925,1.00021
50%,0.2552335,0.6708805,0.933629,5.928335000000001,1.00566
75%,0.25984775,0.678017,0.9673215000000001,5.9358525,1.0107724999999999
max,0.276912,0.704191,1.12913,5.96015,1.03334
