param,Mean,StdDev,5%,50%,95%,N_Eff,R_hat
gamma_base,0.25685,0.01853,0.22523,0.25803,0.28395,90.29139,1.01289
gamma_fast_delta,0.06167,0.03344,0.00969,0.06063,0.12095,865.49113,0.99723
alpha,0.97686,0.01891,0.93956,0.98094,0.99831,370.30966,0.9992
beta_time,0.92553,0.06535,0.82752,0.92116,1.04058,444.57521,1.00307
mu_log_time,5.88722,0.01173,5.86826,5.88697,5.90648,796.04736,0.99958
sigma_log_time,0.98895,0.00723,0.97654,0.98923,1.00086,1383.87026,0.99789
