param,hmc_mean,hmc_sd,hmc_q05,hmc_q50,hmc_q95,vi_q05,vi_q50,vi_q95,vi_mean,vi_sd,mean_delta_vi_minus_hmc,sd_ratio_vi_over_hmc
gamma_base,0.25685,0.01853,0.22523,0.25803,0.28395,0.28333074999999996,0.29442749999999995,0.30558304999999997,0.29422509375,0.006693314972912839,0.03737509374999998,0.3612150552030674
alpha,0.97686,0.01891,0.93956,0.98094,0.99831,0.85739025,0.8781464999999999,0.8967979,0.8777398862500001,0.011926974733085731,-0.09912011374999985,0.6307231482329841
beta_time,0.92553,0.06535,0.82752,0.92116,1.04058,0.76689775,0.8768235,0.9813168,0.8749823800000001,0.0676769140311826,-0.050547619999999904,1.035606947684508
mu_log_time,5.88722,0.01173,5.86826,5.88697,5.90648,5.9018075,5.91749,5.934651000000001,5.917622725,0.009866575049295428,0.030402725000000075,0.841140242906686
sigma_log_time,0.98895,0.00723,0.97654,0.98923,1.00086,1.0228294999999998,1.03217,1.042392,1.03248775,0.006026441232594274,0.04353775000000004,0.8335326739411167
