i,mean,sd,q05,q50,q95,neff,rhat,skill,skill_name
1,-0.244559,0.985361,-1.82782,-0.271963,1.36272,827.267,0.997877,1,Maths
2,-1.27509,0.201656,-1.61656,-1.2756,-0.963756,135.797,1.01528,2,Number
3,-2.09348,0.383712,-2.78597,-2.06486,-1.52371,103.519,1.01048,3,Algebra
4,-1.45686,0.209245,-1.82824,-1.43878,-1.14273,134.767,1.01133,4,Geometry and Measure
5,-1.38334,0.350339,-1.98922,-1.34638,-0.837838,225.09,1.00244,5,Data and Statistics
6,-0.337714,0.807657,-1.65357,-0.374622,0.877531,533.484,1.00194,6,Advanced Pure
7,-0.447029,0.941504,-2.03827,-0.425462,1.0737,1229.91,0.998187,7,Advanced Mechanics
8,-0.0128755,0.976353,-1.54631,-0.0164386,1.61306,1004.12,0.998302,8,Advanced Statistics
9,-0.171497,1.01506,-1.80389,-0.149039,1.42397,951.6,0.997044,9,Physics
