param,hmc_mean,hmc_sd,hmc_q05,hmc_q50,hmc_q95,vi_q05,vi_q50,vi_q95,vi_mean,vi_sd,mean_delta_vi_minus_hmc,sd_ratio_vi_over_hmc
gamma_base,0.17013,0.0202,0.13758,0.17051,0.20461,0.2428334,0.2552335,0.2665644,0.2549661,0.007184973664689464,0.08483609999999997,0.35569176557868637
alpha,0.80908,0.03171,0.75509,0.8102,0.86137,0.6564538,0.6708805,0.6883967499999999,0.6715289485000001,0.009657116398201483,-0.1375510514999999,0.3045448249196305
beta_time,0.92496,0.06701,0.82858,0.91563,1.04994,0.85353195,0.933629,1.0158525,0.934066237,0.050298973824092166,0.009106237000000017,0.750618919923775
mu_log_time,5.88702,0.01083,5.86946,5.88716,5.90463,5.9107650000000005,5.928335000000001,5.9467004999999995,5.928315905,0.010875042066629006,0.04129590500000013,1.004159008922346
sigma_log_time,0.98894,0.00767,0.97635,0.98921,1.00153,0.9927187999999999,1.00566,1.0189324999999998,1.0055737725,0.007850173921961618,0.016633772499999977,1.0234907329806544
