i,mean,sd,q05,q50,q95,neff,rhat
72,-0.0569042,0.892523,-1.52207,-0.03589,1.32203,1241.82,0.999405
73,-0.285157,0.963444,-1.98291,-0.268476,1.35209,665.652,1.00514
74,0.43555,0.885993,-0.989919,0.431918,1.88555,1009.96,0.999779
75,-0.258193,0.978622,-1.90864,-0.256602,1.45165,1287.78,0.999058
76,0.268989,0.989431,-1.43788,0.308921,1.78118,949.399,0.998052
77,-0.124694,0.869343,-1.60181,-0.134373,1.22678,1666.89,0.998521
78,0.233606,0.931634,-1.26518,0.236,1.86431,1450.32,0.999276
79,0.146543,0.905728,-1.38597,0.189587,1.57413,1133.25,0.999146
80,0.237791,1.02167,-1.51653,0.262846,2.0297,1666.89,0.996911
81,-0.248665,0.979664,-1.86383,-0.253719,1.37258,1281.15,0.997149
82,-0.00961468,0.939204,-1.51885,-0.0305966,1.5775,1666.89,0.996924
83,0.20847,0.866077,-1.2433,0.258259,1.53838,1666.89,0.997477
84,0.0748103,0.961034,-1.51712,0.0485046,1.75698,1307.11,0.997662
85,0.0786489,0.961231,-1.48427,0.124088,1.59792,1666.89,0.996686
86,-0.24738,0.924414,-1.71932,-0.255492,1.20222,1039.8,0.999127
87,-0.294027,0.879924,-1.74104,-0.282636,1.14987,805.372,0.999465
88,-0.227417,0.937344,-1.79379,-0.211445,1.24019,1666.89,0.996969
89,0.163499,1.05162,-1.55193,0.173286,1.8659,1666.89,0.997069
90,-0.355228,0.973737,-1.99758,-0.413588,1.26277,1081.27,0.997484
91,0.833938,0.797295,-0.481698,0.842647,2.15394,1123.93,0.998245
92,0.38015,0.907453,-1.12407,0.380347,1.84119,1430.27,0.999892
93,-0.12144,0.885478,-1.53815,-0.145422,1.40846,1447.61,0.997764
94,-0.23901,0.942287,-1.8415,-0.234297,1.30601,1048.94,0.999061
95,-0.244018,0.915572,-1.70085,-0.274057,1.37082,1666.89,0.997184
96,-0.0297162,0.911706,-1.56267,-0.0143047,1.5732,874.24,0.997865
97,0.189795,1.03354,-1.50791,0.216945,1.82299,1666.89,0.999466
98,0.208928,1.05299,-1.43559,0.170282,1.94528,1666.89,0.99687
99,-0.607595,0.962849,-2.17291,-0.641275,0.959203,1627.07,0.997664
100,0.876298,0.880148,-0.578422,0.906462,2.26639,1211.94,1.00019
101,-0.0414684,0.942092,-1.75565,-0.00394859,1.44393,1262.83,0.997712
102,-0.558816,0.920931,-1.9143,-0.554618,0.945416,1280.38,0.999108
103,-0.0626713,0.987671,-1.66137,-0.0383922,1.5517,1035.51,0.998516
104,0.655686,0.864746,-0.694154,0.661513,2.00443,1257.94,0.997745
105,-1.04691,0.820379,-2.40054,-1.06954,0.29589,1666.89,0.997704
106,0.789838,0.806823,-0.561125,0.787158,2.11484,481.731,1.00219
107,-0.00123613,0.980289,-1.62621,0.0135612,1.5623,1231.18,0.999133
108,-0.325226,0.931538,-1.86988,-0.376816,1.24004,1666.89,0.996764
109,0.314346,0.876626,-1.10462,0.332379,1.74353,1452.4,0.999206
110,-0.0501006,1.01652,-1.69584,-0.0640455,1.55623,1666.89,0.997615
111,-0.0745271,0.884502,-1.49353,-0.0715799,1.4158,1321.61,0.999167
112,-0.266574,0.969134,-1.76559,-0.261501,1.30575,883.923,0.999443
113,-0.231596,1.06374,-1.96227,-0.216937,1.48608,1666.89,0.997751
114,-0.65334,0.947775,-2.14001,-0.686541,0.867545,753.126,1.00034
115,1.73145,0.888154,0.276056,1.74368,3.1946,1097.2,0.99716
116,0.292937,0.985741,-1.24965,0.230785,1.89737,761.26,1.00112
117,-0.677941,0.837418,-2.05112,-0.668178,0.677085,1409.49,0.997453
118,-0.186632,1.01796,-1.85185,-0.208591,1.524,816.134,0.99808
119,-0.0766553,0.970812,-1.63578,-0.0518739,1.54516,1558.72,0.999052
120,0.194038,0.969607,-1.50493,0.218202,1.85548,1239.64,0.997284
121,-0.851312,0.726399,-2.02605,-0.859317,0.371249,1141.39,0.997297
122,-0.286776,0.92078,-1.79102,-0.247419,1.26338,1368.99,0.997896
123,-0.541594,0.848436,-1.89328,-0.551295,0.906875,1122.51,0.997612
124,-0.0267014,0.989421,-1.65087,-0.0126226,1.66344,1151.33,0.997997
125,-0.291447,0.982706,-1.98729,-0.305819,1.37202,1549.78,0.997937
126,-0.282468,1.01989,-1.98087,-0.263137,1.46375,1666.89,0.997387
127,-0.294387,0.964274,-1.81312,-0.320854,1.35491,982.41,0.997742
128,-0.0876014,0.930907,-1.67849,-0.0582144,1.60461,1104.19,0.996842
129,0.307962,0.910453,-1.16006,0.301652,1.77111,1387.66,1.00064
130,0.510145,0.932295,-1.12494,0.466667,2.00995,988.105,0.997635
131,-0.220596,0.978241,-1.95744,-0.240734,1.46815,1059.74,0.998725
132,0.270301,0.985835,-1.35405,0.250376,1.7844,1350.73,0.998088
133,0.276462,0.971378,-1.25246,0.312211,1.82186,1521.5,0.999224
