param,hmc_mean,hmc_sd,hmc_q05,hmc_q50,hmc_q95,vi_q05,vi_q50,vi_q95,vi_mean,vi_sd,mean_delta_vi_minus_hmc,sd_ratio_vi_over_hmc
gamma_base,0.23453,0.0583,0.1679,0.29262,0.29264,0.18712659999999998,0.1928725,0.19861535,0.192885429,0.0035150435377808978,-0.04164457099999999,0.060292341985950224
alpha,0.7705,0.17194,0.6,0.85177,0.97917,0.71343185,0.7284025000000001,0.74351155,0.728352346,0.009113940609088749,-0.04214765399999998,0.05300651744264714
beta_time,0.26184,0.68092,-0.41788,0.84318,0.99881,0.85189075,0.9403365,1.027839,0.9403690490000001,0.054711088369551644,0.678529049,0.08034877572923639
mu_log_time,5.32325,0.53622,4.78749,5.84031,5.86727,5.823929,5.832725,5.84209,5.8327659249999995,0.005590509112813002,0.5095159249999996,0.010425775078909778
sigma_log_time,0.48042,0.48083,0.0,0.94946,0.96638,0.98102755,0.987725,0.9942664999999999,0.9877346575,0.003986800151489627,0.5073146575,0.0082914962699699
