i,mean,sd,q05,q50,q95,neff,rhat,skill,skill_name
1,0.897066,0.646816,0.118703,0.850983,2.28006,689.704,1.00358,1,Maths
2,0.923069,0.780188,0.119125,0.721083,2.64984,12.4286,1.04434,2,Number
3,0.61586,0.692746,0.104741,0.30584,1.99107,3.83369,1.15254,3,Calculator Use
4,0.6052,0.309726,0.0653469,0.747085,1.01336,3.79343,1.16058,4,Decimals
5,0.558419,0.597385,1.16282e-05,0.392962,1.49242,1.09154,3.20681,5,"Factors, Multiples and Primes"
6,0.408051,0.548712,0.00202842,0.00662772,1.54883,1.50291,1.61625,6,"Fractions, Decimals and Percentage Equivalence"
7,1.01708,1.06143,1.74412e-08,0.837123,2.59608,1.06063,4.04515,7,Fractions
8,1.23568,0.293826,0.650173,1.33938,1.60575,6.53047,1.08757,8,"Indices, Powers and Roots"
9,0.765729,0.797516,8.78441e-11,0.787141,1.9375,1.05645,4.13598,9,Negative Numbers
10,1.24242,1.13824,0.184506,0.826383,3.06685,1.09613,3.0887,10,Percentages
11,0.451699,0.545747,0.102319,0.102335,1.56988,1.86355,1.3843,11,Proportion
12,0.353549,0.493999,0.049036,0.0490601,1.35881,2.01268,1.34555,12,Ratio
13,1.78902,1.17244,0.323417,1.47765,4.26149,15.6571,1.05876,13,Surds
14,0.589139,0.871626,0.0595436,0.198762,2.16824,3.42516,1.15464,14,Algebra
15,0.749817,0.821097,9.04759e-05,0.271132,2.0754,1.11842,2.78206,15,Straight Line Graphs
16,0.4577,0.584594,0.0934923,0.112613,1.81293,2.13717,1.32011,16,Quadratic Graphs
17,0.225802,0.317547,0.0325485,0.0325543,0.924427,2.02502,1.33267,17,Inequalities
18,0.377074,0.297887,0.0837785,0.259657,1.05721,4.90429,1.11933,18,Sequences
19,1.02952,0.763431,0.313028,1.00232,2.23268,1.08837,3.30484,19,Writing and Simplifying Expressions
20,0.608801,0.562347,0.0926475,0.433524,1.85578,7.91861,1.07055,20,Transformation of Functions
21,0.594012,0.796382,0.113111,0.188079,2.22333,2.70354,1.21012,21,Geometry and Measure
22,0.890592,0.890662,0.0225558,1.0247,2.12874,1.03902,5.19016,22,Angles
23,0.377293,0.494106,0.0295687,0.0295743,1.4029,1.66428,1.53362,23,Circles
24,1.11021,0.51965,0.0985083,1.3536,1.82983,3.29193,1.16925,24,Compound Measures
25,1.93762,0.543447,0.830758,2.22047,2.51074,2.87718,1.22087,25,Co-ordinates
26,0.35252,0.514615,0.0321257,0.0321477,1.45994,1.96034,1.35968,26,"Construction, Loci and Scale Drawing"
27,0.880394,0.431379,0.146471,1.10454,1.3736,2.7702,1.21858,27,Symmetry
28,0.689464,0.381759,0.0478737,0.802268,1.26908,11.8269,1.06026,28,Basic Trigonometry
29,0.325108,0.468242,0.000863284,0.0023946,1.3506,1.69035,1.49163,29,Units of Measurement
30,0.749488,0.665355,0.0756595,0.541744,2.12954,9.57824,1.06617,30,Basic Vectors
31,0.653122,0.380214,0.0962529,0.637444,1.42362,245.61,1.00395,31,Volume and Surface Area
32,1.22519,0.744154,0.107087,1.44917,2.53895,9.85418,1.06183,32,Data and Statistics
33,0.555004,0.734236,0.0886452,0.156462,2.08622,2.49504,1.24635,33,Data Collection
34,0.665253,0.851203,0.094784,0.369311,2.43508,8.02689,1.0852,34,Advanced Pure
35,0.665992,0.691367,0.0879621,0.444484,1.97406,8.12229,1.07012,35,Differentiation
36,0.648114,0.933979,0.0866282,0.211812,2.6961,3.09073,1.16784,36,Exponentials and Logarithms
37,0.610636,0.884754,0.064375,0.190916,2.43238,3.1455,1.1746,37,Integration
38,0.682909,0.658933,0.100881,0.462581,2.11941,6.37102,1.0804,38,Matrices
39,1.02733,0.606079,0.0879871,1.04615,2.20104,659.536,1.00415,39,Sequences and Series
40,0.520565,0.754621,0.0786891,0.0787511,2.12966,2.14182,1.3013,40,Advanced Trigonometry
41,0.65137,1.02716,0.0994757,0.142008,2.91333,2.78718,1.19439,41,Advanced Vectors
42,0.266321,0.209467,0.0375917,0.180129,0.679989,4.54645,1.12457,42,Rounding and Estimating
43,0.541302,0.873588,0.0503116,0.050325,2.28807,2.27605,1.26793,43,Advanced Algebra
44,1.27143,1.29332,0.000120873,1.74958,2.9664,1.02844,6.39394,44,Basic Arithmetic
45,0.600151,0.653387,0.100994,0.332952,1.9801,4.21833,1.12297,45,Functions
46,0.490982,0.815698,0.0147433,0.0147496,2.2456,2.10126,1.29696,46,Advanced Statistics
47,0.563661,0.703064,0.0348675,0.0348722,1.9549,1.48115,1.67345,47,Expanding Brackets
48,1.20629,0.980599,0.305168,0.364984,2.78231,1.10913,2.90023,48,Factorising
49,0.875333,0.42437,0.330142,0.694285,1.73372,4.58322,1.1363,49,Solving Equations
50,0.97307,1.04043,0.000641397,0.372106,2.56193,1.09366,3.20558,50,Formula
51,1.3093,0.800197,0.0660363,2.0242,2.02455,1.14954,2.52743,51,Other Graphs
52,0.971617,1.09079,0.0485128,0.063983,2.87325,1.23281,2.10317,52,2D Names and Properties of Shapes
53,0.480313,0.462513,0.0793571,0.245352,1.55298,2.85415,1.21462,53,3D Shapes
54,0.752677,0.827193,1.81952e-05,0.157978,2.0961,1.12653,2.7343,54,Perimeter and Area
55,2.07983,0.775583,0.538751,2.24806,3.2492,149.082,1.02918,55,Algebraic Fractions
56,0.743093,0.651134,0.157484,0.393976,2.04173,2.48724,1.29035,56,Pythagoras
57,1.99052,0.58139,0.964472,2.07956,2.84732,214.521,1.01283,57,Similarity and Congruency
58,0.211203,0.325051,0.00223814,0.00223925,0.935762,1.9376,1.38904,58,Transformations
59,0.66267,0.7753,0.12602,0.296635,2.24752,3.07183,1.17381,59,Kinematics
60,0.639612,0.874,0.0895728,0.24782,2.27236,3.48551,1.15207,60,Advanced Measures of Variation
61,1.39026,0.803657,0.117903,1.81661,2.09793,2.4591,1.23067,61,Permutations and Combinations
62,1.84311,1.08376,0.121442,2.69539,2.69632,1.33897,1.77845,62,Regression
63,1.07897,1.18538,0.134591,0.134633,3.25208,1.35816,1.818,63,Money
64,0.735489,0.898223,0.000339774,0.00138812,2.39321,1.29057,1.92254,64,Data Processing
65,0.629658,0.668464,0.0371908,0.141805,1.78862,1.1791,2.43953,65,Data Representation
66,1.7589,1.57929,0.279913,1.60358,4.27004,1.08633,3.25319,66,Probability
67,0.635503,0.859862,0.0818289,0.254586,2.4487,3.60822,1.14861,67,Radians
68,0.591122,0.733944,0.110876,0.229634,2.08464,2.83766,1.19103,68,Roots of Polynomials
69,1.10092,0.759468,0.0732974,1.19311,2.31468,747.819,1.0073,69,Forces and Motion
