i,mean,sd,q05,q50,q95,neff,rhat
71,-0.170738,0.689037,-1.48079,0.0124904,0.907527,10.6393,1.04723
72,-0.0105381,0.747037,-0.788794,-0.414348,1.4975,2.40584,1.24388
73,-0.156189,0.733259,-1.47911,0.00690058,1.06398,20.8195,1.03393
74,0.260687,0.700374,-1.20103,0.509549,1.22187,5.69327,1.08961
75,0.20475,1.29168,-2.04728,1.29129,1.29167,1.22971,2.05419
76,0.741626,0.593233,-0.0422804,0.524348,1.99683,4.92378,1.10854
77,0.480631,0.95219,-1.26319,1.23574,1.23598,1.33658,1.80317
78,0.83406,1.03181,-1.32525,1.55362,1.55381,1.57295,1.5011
79,0.486332,0.653728,-0.896329,0.748817,1.27581,4.37325,1.11781
80,0.0682224,0.62937,-0.840297,-0.115631,1.37092,8.74952,1.05856
81,0.439798,0.882392,-1.41202,0.922191,1.27653,2.31581,1.24872
82,-0.0652992,0.730165,-1.43394,-0.0556353,1.21903,1131.91,0.996808
83,-0.0894914,0.786629,-1.75421,0.333084,0.676013,2.42217,1.23945
84,0.267687,0.672361,-1.1037,0.595123,1.07487,2.8504,1.18683
85,-0.811924,0.746088,-1.7476,-1.05205,0.778194,7.34481,1.07079
86,0.0545026,0.690576,-0.782784,-0.20888,1.46629,4.71639,1.10557
87,-0.725173,1.13467,-1.61155,-1.61109,1.44013,1.35257,1.75282
88,-0.305017,0.843962,-0.949411,-0.949303,1.27782,1.39366,1.69398
89,-0.561156,0.999452,-1.32304,-1.32278,1.34004,1.40682,1.68475
90,0.71324,0.7811,-0.861755,1.03236,1.6799,3.94597,1.12224
91,0.319065,0.694455,-1.07082,0.433603,1.39091,130.803,1.01552
92,-0.709772,1.09181,-1.61573,-1.61536,1.31776,1.25648,1.9964
93,0.344045,0.80079,-1.22677,0.689547,1.26376,3.57491,1.13918
94,-0.254054,0.807178,-1.20114,-0.627817,1.47827,3.10438,1.16659
95,-0.108531,0.79949,-0.818084,-0.563294,1.52277,2.19205,1.27652
96,-0.0426804,0.678936,-1.43807,0.161248,1.01809,8.5779,1.06066
97,0.64242,0.613752,-0.629305,0.917494,1.37668,3.30463,1.15204
98,-0.131537,0.658615,-0.923883,-0.460411,1.27728,2.75589,1.19839
99,-0.166189,0.739595,-0.974647,-0.519031,1.32115,2.99044,1.17695
100,0.447007,0.574803,-0.433795,0.323964,1.59944,24.9725,1.02814
101,0.551941,0.646129,-0.840064,0.830902,1.34578,4.04129,1.14042
102,0.765359,0.806397,-0.695223,1.34787,1.34809,1.51469,1.56388
103,0.415095,0.960931,-1.53318,0.991948,1.25858,2.07345,1.32016
104,-0.748777,0.809049,-1.84835,-0.973614,0.913496,9.49338,1.05302
105,0.42164,0.494653,-0.600064,0.507867,1.25241,134.348,1.02032
106,0.513273,0.706817,-0.871908,0.655165,1.71047,44.1293,1.02688
107,1.13096,0.952911,-0.738748,1.89207,1.89242,1.31539,1.83147
108,0.820331,1.13474,-1.42904,1.69207,1.69272,1.38152,1.7174
