metric,n_parameters
$\hat{R} > 1.05$,55867
$\hat{R} > 1.01$,74450
$0.99 \leq \hat{R} \leq 1.01$,34368
$\hat{R} < 0.99$,0
$\hat{R}$ is NaN,0
Total rows in summary,108818
