param,Mean,StdDev,5%,50%,95%,N_Eff,R_hat
gamma_base,0.23453,0.0583,0.1679,0.29262,0.29264,1.01302,16.01002
gamma_fast_delta,0.0415,0.03523,0.01215,0.01872,0.11817,1.76709,1.3966
alpha,0.7705,0.17194,0.6,0.85177,0.97917,1.01924,9.35399
beta_time,0.26184,0.68092,-0.41788,0.84318,0.99881,1.01114,26.12388
mu_log_time,5.32325,0.53622,4.78749,5.84031,5.86727,1.01015,128.47575
sigma_log_time,0.48042,0.48083,0.0,0.94946,0.96638,1.01013,173.10228
