,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-25321.1,6.70111,82.5433,-25450.5,-25321.7,-25185.8,151.729,0.883499,1.01559
mu_skill[1],-0.244559,0.0342588,0.985361,-1.82782,-0.271963,1.36272,827.267,4.81706,0.997877
mu_skill[2],-1.27509,0.0173048,0.201656,-1.61656,-1.2756,-0.963756,135.797,0.790728,1.01528
mu_skill[3],-2.09348,0.0377133,0.383712,-2.78597,-2.06486,-1.52371,103.519,0.602779,1.01048
mu_skill[4],-1.45686,0.0180245,0.209245,-1.82824,-1.43878,-1.14273,134.767,0.784726,1.01133
mu_skill[5],-1.38334,0.0233513,0.350339,-1.98922,-1.34638,-0.837838,225.09,1.31067,1.00244
mu_skill[6],-0.337714,0.0349676,0.807657,-1.65357,-0.374622,0.877531,533.484,3.1064,1.00194
mu_skill[7],-0.447029,0.0268464,0.941504,-2.03827,-0.425462,1.0737,1229.91,7.16158,0.998187
mu_skill[8],-0.0128755,0.0308116,0.976353,-1.54631,-0.0164386,1.61306,1004.12,5.84684,0.998302
mu_skill[9],-0.171497,0.0329051,1.01506,-1.80389,-0.149039,1.42397,951.6,5.54103,0.997044
sigma_skill[1],1.01984,0.0452792,1.05281,0.0551906,0.712928,2.9554,540.633,3.14803,1.00023
sigma_skill[2],1.3034,0.0147823,0.165758,1.0492,1.28972,1.59502,125.737,0.732149,1.01695
sigma_skill[3],1.59245,0.034122,0.361892,1.0699,1.55498,2.23163,112.484,0.654976,1.00096
sigma_skill[4],0.677222,0.0314466,0.243543,0.274032,0.670846,1.0836,59.9799,0.349254,1.04171
sigma_skill[5],1.79734,0.038555,0.484309,1.05158,1.75131,2.6119,157.791,0.918794,1.00054
sigma_skill[6],1.22647,0.0567776,1.18966,0.0528642,0.876729,3.68975,439.026,2.55639,1.00094
sigma_skill[7],1.00428,0.0362846,0.985644,0.0640074,0.703468,2.92929,737.896,4.29666,0.999068
sigma_skill[8],1.02562,0.0324745,0.990787,0.0607266,0.719492,2.87918,930.839,5.42014,0.999184
sigma_skill[9],0.921926,0.0303995,0.981678,0.0430815,0.597395,2.91466,1042.81,6.07214,0.998453
beta_age[1],0.0551634,0.018799,0.528629,-0.855817,0.044603,0.956205,790.737,4.60435,0.998144
beta_age[2],-0.695359,0.00794286,0.161862,-0.980334,-0.691138,-0.43126,415.278,2.4181,0.997936
beta_age[3],0.108772,0.0099051,0.203141,-0.231757,0.110265,0.43677,420.608,2.44914,0.999075
beta_age[4],-0.143853,0.00928852,0.188754,-0.490015,-0.120279,0.128234,412.952,2.40456,1.00867
beta_age[5],-0.209504,0.0129693,0.260494,-0.650456,-0.190872,0.192212,403.423,2.34907,0.997683
beta_age[6],-0.0795431,0.0177157,0.521544,-0.942357,-0.0583396,0.760637,866.695,5.04664,0.999199
beta_age[7],-0.0149272,0.0141645,0.501612,-0.860734,0.000767885,0.764906,1254.1,7.30243,0.996865
beta_age[8],-0.00232911,0.0166239,0.498692,-0.78692,0.00902945,0.78405,899.91,5.24004,0.998338
beta_age[9],0.0314319,0.0143718,0.52154,-0.85288,0.0336105,0.913916,1316.89,7.66808,0.998782
beta_gender[1],-0.0845774,0.0200026,0.495158,-0.908108,-0.0940789,0.794797,612.792,3.5682,0.997518
beta_gender[2],-0.397746,0.0109541,0.179318,-0.710652,-0.38574,-0.121758,267.973,1.56037,1.00081
beta_gender[3],-0.463648,0.0117113,0.282271,-0.948679,-0.474828,0.00169953,580.932,3.38268,1.00336
beta_gender[4],0.261936,0.010831,0.217524,-0.127768,0.275542,0.60789,403.344,2.34862,0.99867
beta_gender[5],-0.396078,0.0138335,0.353053,-1.03233,-0.371693,0.159072,651.346,3.7927,0.996728
beta_gender[6],-0.259027,0.0163856,0.500556,-1.1236,-0.244906,0.546345,933.215,5.43398,0.997518
beta_gender[7],-0.066269,0.0164052,0.486881,-0.842294,-0.084708,0.712632,880.809,5.12882,1.00224
beta_gender[8],0.00714648,0.0177536,0.502617,-0.804159,-0.0124982,0.843977,801.492,4.66698,0.998305
beta_gender[9],-0.0550918,0.0172315,0.466934,-0.793018,-0.0519374,0.668378,734.285,4.27564,0.99842
"user_skill_raw[1,1]",-0.0277775,0.0342492,1.05203,-1.78641,-0.00747215,1.74155,943.52,5.49398,0.998566
"user_skill_raw[1,2]",-0.0738765,0.027072,0.870846,-1.54865,-0.0345555,1.25556,1034.77,6.02531,0.999805
"user_skill_raw[1,3]",0.276138,0.0322112,1.05364,-1.55464,0.265018,2.0044,1069.97,6.23029,0.999084
"user_skill_raw[1,4]",-0.407012,0.0324282,0.939654,-1.88951,-0.421471,1.09359,839.636,4.88908,0.997816
"user_skill_raw[1,5]",-0.271707,0.0335789,0.910977,-1.86381,-0.209821,1.10819,736.005,4.28565,1.00272
"user_skill_raw[1,6]",-0.00469337,0.0346007,1.06595,-1.71922,0.00922638,1.70587,949.086,5.52639,0.999008
"user_skill_raw[1,7]",0.0351871,0.0320193,1.07666,-1.86901,0.0725391,1.7489,1130.67,6.58374,0.999687
"user_skill_raw[1,8]",0.0379404,0.0351043,1.03585,-1.69289,0.0305109,1.67406,870.706,5.07,0.997346
"user_skill_raw[1,9]",0.0093045,0.0271648,1.01155,-1.75014,0.0371733,1.62583,1386.63,8.07416,0.9978
"user_skill_raw[2,1]",0.0175223,0.0354599,1.01293,-1.6345,-0.0335982,1.68882,815.989,4.75139,0.997245
"user_skill_raw[2,2]",0.541684,0.0328515,0.858874,-0.929529,0.602846,1.84851,683.515,3.98001,1.00174
"user_skill_raw[2,3]",0.32435,0.0390643,0.955564,-1.40532,0.475798,1.69755,598.356,3.48414,0.998422
"user_skill_raw[2,4]",-0.15232,0.0298831,0.962563,-1.76929,-0.155429,1.34736,1037.55,6.04148,0.998884
"user_skill_raw[2,5]",-0.0651416,0.0319086,0.945793,-1.72184,-0.0359709,1.34865,878.573,5.1158,0.999292
"user_skill_raw[2,6]",0.0259564,0.0350772,0.937274,-1.52163,0.0654202,1.55704,713.976,4.15738,0.996681
"user_skill_raw[2,7]",-0.0310891,0.0294949,0.997889,-1.6733,-0.0535967,1.64983,1144.65,6.66511,1.0016
"user_skill_raw[2,8]",-0.0265149,0.0348449,1.01243,-1.67792,-0.0303234,1.6521,844.213,4.91573,0.999765
"user_skill_raw[2,9]",-0.030649,0.0346532,1.08366,-1.75382,-0.00594218,1.80541,977.904,5.6942,0.997575
"user_skill_raw[3,1]",0.00985046,0.0341518,0.950542,-1.51964,0.0286744,1.50101,774.669,4.51079,0.999105
"user_skill_raw[3,2]",-0.76897,0.022244,0.727504,-1.96405,-0.72083,0.316735,1069.66,6.22845,0.997601
"user_skill_raw[3,3]",0.0283338,0.0318861,1.02981,-1.72129,0.114568,1.67684,1043.07,6.07365,0.9968
"user_skill_raw[3,4]",0.107783,0.0334045,0.895675,-1.56752,0.158409,1.49633,718.939,4.18628,1.00141
"user_skill_raw[3,5]",0.00327204,0.0279043,0.90249,-1.60714,0.0314041,1.52198,1046.03,6.09086,0.999105
"user_skill_raw[3,6]",-0.00852445,0.0314108,1.00317,-1.57761,-0.0198995,1.62057,1019.98,5.9392,0.99887
"user_skill_raw[3,7]",-0.026565,0.0316267,0.998224,-1.59613,-0.0259548,1.61171,996.205,5.80076,0.997765
"user_skill_raw[3,8]",-0.0161997,0.0318264,0.9384,-1.55821,-0.0212163,1.51398,869.364,5.06218,0.996726
"user_skill_raw[3,9]",0.00242834,0.0293564,0.998507,-1.53811,0.0260826,1.58289,1156.9,6.73645,0.997916
"user_skill_raw[4,1]",0.0208491,0.0308707,0.96859,-1.55842,-0.0154235,1.60865,984.435,5.73223,0.998598
"user_skill_raw[4,2]",-0.373162,0.0260545,0.722198,-1.6299,-0.319621,0.723446,768.329,4.47387,1.00007
"user_skill_raw[4,3]",-0.378563,0.0392743,0.887986,-1.86517,-0.363243,1.05152,511.205,2.97668,1.0041
"user_skill_raw[4,4]",0.0146038,0.0316282,0.993707,-1.74111,0.0405925,1.68347,987.112,5.74781,0.997912
"user_skill_raw[4,5]",0.0191569,0.0336968,1.0222,-1.67085,0.0316609,1.59194,920.22,5.35831,0.99757
"user_skill_raw[4,6]",-0.0251025,0.0288258,1.05091,-1.75151,-0.0104893,1.6705,1329.12,7.73926,0.998854
"user_skill_raw[4,7]",-0.0293362,0.0303667,0.975846,-1.60763,-0.0213378,1.57805,1032.68,6.01317,0.999391
"user_skill_raw[4,8]",0.0104647,0.0383903,1.01957,-1.71864,0.00799431,1.72352,705.33,4.10704,1.00714
"user_skill_raw[4,9]",-0.0646597,0.0287522,1.0023,-1.69972,-0.0782452,1.55504,1215.21,7.07598,0.998868
"user_skill_raw[5,1]",0.0766953,0.036021,1.01411,-1.70998,0.0578456,1.72902,792.611,4.61526,0.999859
"user_skill_raw[5,2]",-0.249718,0.0299315,0.913152,-1.76532,-0.231542,1.25154,930.738,5.41956,0.998297
"user_skill_raw[5,3]",-0.305859,0.0293957,0.850714,-1.70263,-0.293546,1.04587,837.529,4.87681,0.997405
"user_skill_raw[5,4]",-0.202891,0.032454,0.928407,-1.70561,-0.227493,1.34574,818.353,4.76515,0.998489
"user_skill_raw[5,5]",0.0136521,0.0442223,1.00911,-1.59263,0.025699,1.71934,520.708,3.03201,1.00373
"user_skill_raw[5,6]",0.019188,0.0371148,1.00145,-1.63535,0.0563677,1.64014,728.059,4.23938,1.00715
"user_skill_raw[5,7]",-0.0104285,0.0293489,0.986594,-1.63552,-0.0474984,1.58597,1130.04,6.58006,0.999749
"user_skill_raw[5,8]",-0.0463687,0.0297001,0.984228,-1.62852,-0.0942615,1.62996,1098.19,6.39458,0.99968
"user_skill_raw[5,9]",0.00684824,0.0246001,1.00436,-1.61339,-0.0158424,1.80308,1666.89,9.70607,0.998002
"user_skill_raw[6,1]",-0.0231717,0.0263491,1.01018,-1.76303,-0.0405006,1.5486,1469.84,8.55865,0.999342
"user_skill_raw[6,2]",0.31847,0.0393844,1.02778,-1.41794,0.330391,1.90657,681.009,3.96542,0.997642
"user_skill_raw[6,3]",-0.123131,0.0322435,0.839886,-1.55415,-0.0564207,1.09876,678.51,3.95087,0.999398
"user_skill_raw[6,4]",-0.218815,0.0374743,0.932213,-1.75325,-0.191725,1.28374,618.819,3.6033,1.0014
"user_skill_raw[6,5]",-0.0033197,0.0335871,1.00058,-1.55086,0.00326757,1.71592,887.487,5.16771,0.996761
"user_skill_raw[6,6]",-0.00571966,0.0297596,0.964328,-1.57257,-0.00647195,1.52006,1050.01,6.11408,1.00044
"user_skill_raw[6,7]",0.0311714,0.0395416,1.04527,-1.64872,-0.00380127,1.83646,698.791,4.06896,0.998259
"user_skill_raw[6,8]",0.000582287,0.0388111,1.00488,-1.73535,0.0176913,1.5713,670.375,3.9035,1.00305
"user_skill_raw[6,9]",-0.0362213,0.0254858,1.01119,-1.83536,-0.0281801,1.62756,1574.25,9.16663,0.99789
"user_skill_raw[7,1]",-0.0278844,0.0312775,0.977323,-1.5498,-0.012288,1.63098,976.367,5.68524,0.99837
"user_skill_raw[7,2]",-0.192621,0.0256904,0.652024,-1.4753,-0.152705,0.793956,644.147,3.75078,0.998023
"user_skill_raw[7,3]",-0.52486,0.0259828,0.795732,-1.82496,-0.509352,0.67878,937.912,5.46133,0.999515
"user_skill_raw[7,4]",-0.0533158,0.0335918,0.968708,-1.75617,-0.0644089,1.56134,831.608,4.84233,0.998155
"user_skill_raw[7,5]",0.273237,0.0300944,1.01861,-1.46635,0.295931,1.92071,1145.62,6.67077,0.997015
"user_skill_raw[7,6]",-0.00699326,0.0376919,1.04115,-1.71319,-0.0356538,1.69094,763.016,4.44293,0.997508
"user_skill_raw[7,7]",-0.0707018,0.0301496,1.0373,-1.81544,-0.0796986,1.71621,1183.71,6.89257,1.00074
"user_skill_raw[7,8]",-0.0123818,0.0352412,1.01647,-1.64513,0.0121992,1.65782,831.93,4.84421,0.999369
"user_skill_raw[7,9]",-0.0304583,0.0329804,1.01402,-1.67569,-0.0717129,1.67414,945.322,5.50448,0.997249
"user_skill_raw[8,1]",0.0287071,0.0354026,0.942883,-1.65029,0.0382668,1.49118,709.327,4.13031,0.997417
"user_skill_raw[8,2]",0.853299,0.0171663,0.559006,-0.069769,0.839625,1.78398,1060.43,6.17472,0.999715
"user_skill_raw[8,3]",-0.233273,0.0276555,0.930786,-1.75439,-0.238923,1.22186,1132.76,6.5959,0.999055
"user_skill_raw[8,4]",0.212082,0.0275157,1.00368,-1.50181,0.205899,1.82502,1330.56,7.74763,0.997414
"user_skill_raw[8,5]",0.0346368,0.0368106,0.975899,-1.51417,0.00572931,1.58889,702.854,4.09262,0.999454
"user_skill_raw[8,6]",-0.027651,0.0315697,1.019,-1.7705,0.0150771,1.61515,1041.86,6.0666,0.999116
"user_skill_raw[8,7]",0.0337447,0.0374367,0.985757,-1.62654,0.0696988,1.64285,693.337,4.0372,1.0002
"user_skill_raw[8,8]",-0.0564564,0.0341724,1.06847,-1.92801,-0.082753,1.67828,977.624,5.69256,0.997867
"user_skill_raw[8,9]",-0.037071,0.0337632,0.984592,-1.68317,-0.0855875,1.59128,850.403,4.95178,0.996702
"user_skill_raw[9,1]",0.00593404,0.0466989,1.07612,-1.80803,0.0490164,1.73304,531.018,3.09204,0.998586
"user_skill_raw[9,2]",0.273679,0.0308792,1.00156,-1.37036,0.318765,1.92124,1052.01,6.12569,0.997579
"user_skill_raw[9,3]",-0.514935,0.0315559,0.82829,-2.02907,-0.436974,0.788575,688.976,4.01181,0.997005
"user_skill_raw[9,4]",0.143134,0.0305453,0.996071,-1.54107,0.112923,1.78352,1063.38,6.19193,0.999065
"user_skill_raw[9,5]",-0.0315947,0.0390268,0.968032,-1.64518,-0.0585778,1.54834,615.253,3.58253,0.999365
"user_skill_raw[9,6]",0.0278237,0.0355668,1.05104,-1.72232,0.0424879,1.67727,873.273,5.08494,0.997224
"user_skill_raw[9,7]",-0.0528052,0.0404662,1.08612,-1.77354,-0.0249045,1.71242,720.389,4.19472,0.998593
"user_skill_raw[9,8]",-0.0120508,0.0394889,1.00492,-1.66707,0.00205593,1.53826,647.609,3.77094,0.997896
"user_skill_raw[9,9]",-0.0358577,0.0402859,1.07727,-1.79399,0.00204709,1.72334,715.059,4.16369,1.00025
"user_skill_raw[10,1]",-0.0658962,0.0331302,1.03135,-1.82001,-0.0352033,1.55744,969.094,5.64289,0.997267
"user_skill_raw[10,2]",-0.239979,0.0295559,0.74585,-1.55665,-0.183276,0.871483,636.816,3.70809,1.00743
"user_skill_raw[10,3]",0.66937,0.0317046,1.02264,-1.17562,0.756506,2.19192,1040.4,6.05808,0.998648
"user_skill_raw[10,4]",-0.398441,0.0380326,0.899383,-1.99135,-0.40882,1.07794,559.214,3.25622,0.998316
"user_skill_raw[10,5]",-0.0305603,0.036625,1.11519,-1.86548,-0.00949809,1.77796,927.129,5.39854,0.999413
"user_skill_raw[10,6]",0.0176648,0.0311617,0.963674,-1.6403,0.0221193,1.57079,956.355,5.56872,0.996755
"user_skill_raw[10,7]",-0.00349232,0.0315,1.01033,-1.80992,0.00900138,1.65258,1028.75,5.99027,0.998156
"user_skill_raw[10,8]",0.0496663,0.0375738,1.00123,-1.64371,0.0834,1.66491,710.067,4.13462,1.00086
"user_skill_raw[10,9]",0.0352163,0.0329426,0.989198,-1.62139,0.072671,1.58147,901.68,5.25035,0.998714
"user_skill_raw[11,1]",-0.0242597,0.0284555,0.971182,-1.66121,-0.0382764,1.74404,1164.85,6.78275,0.997172
"user_skill_raw[11,2]",0.429801,0.0289215,0.900844,-1.04883,0.461088,1.88342,970.194,5.6493,0.999858
"user_skill_raw[11,3]",-0.179636,0.0276747,0.862801,-1.70265,-0.136008,1.15842,971.973,5.65966,0.997132
"user_skill_raw[11,4]",-0.0603088,0.0257648,0.881653,-1.49427,-0.0429341,1.43685,1170.96,6.81833,0.996834
"user_skill_raw[11,5]",0.329948,0.0323256,1.04483,-1.50169,0.356137,2.09578,1044.71,6.08318,0.998057
"user_skill_raw[11,6]",-0.00492394,0.0382701,1.03748,-1.69019,-0.0229053,1.6818,734.925,4.27936,0.999627
"user_skill_raw[11,7]",-0.0521954,0.0333567,1.06087,-1.80672,-0.0369032,1.63956,1011.49,5.88974,0.997967
"user_skill_raw[11,8]",-0.0251721,0.0223018,0.910528,-1.50839,0.00648114,1.44662,1666.89,9.70607,0.997378
"user_skill_raw[11,9]",-0.0414709,0.0256266,0.97623,-1.61873,-0.0282021,1.52777,1451.18,8.45002,0.998168
"user_skill_raw[12,1]",-0.00213129,0.0309976,1.02127,-1.71344,0.00638191,1.58419,1085.48,6.32057,0.998076
"user_skill_raw[12,2]",-0.306585,0.0337669,0.807882,-1.81439,-0.214962,0.913889,572.417,3.3331,0.9998
"user_skill_raw[12,3]",-0.149395,0.0322803,0.806045,-1.51959,-0.085447,1.02669,623.51,3.63061,0.999452
"user_skill_raw[12,4]",0.0276789,0.0288815,0.969612,-1.56848,0.00452178,1.58089,1127.08,6.56285,0.998278
"user_skill_raw[12,5]",-0.568359,0.032639,0.769438,-1.93952,-0.544777,0.628831,555.744,3.23602,1.00132
"user_skill_raw[12,6]",0.00247078,0.0356988,1.00824,-1.64553,0.0116165,1.64417,797.665,4.64469,0.997667
"user_skill_raw[12,7]",-0.012298,0.0363638,1.04212,-1.73111,-0.0189197,1.7669,821.289,4.78225,1.00017
"user_skill_raw[12,8]",0.00801414,0.0296292,0.947264,-1.5409,0.0497737,1.53333,1022.12,5.95166,0.999456
"user_skill_raw[12,9]",0.0206101,0.035137,1.00763,-1.54805,0.0361035,1.66299,822.373,4.78856,0.998033
"user_skill_raw[13,1]",0.0622201,0.0337922,0.942621,-1.57056,0.0858383,1.60688,778.113,4.53084,0.999093
"user_skill_raw[13,2]",-0.798235,0.0252349,0.742955,-2.04883,-0.777445,0.338171,866.805,5.04728,0.99891
"user_skill_raw[13,3]",-0.0931323,0.0287081,0.75989,-1.4193,-0.0306519,1.05563,700.635,4.0797,0.997879
"user_skill_raw[13,4]",-0.628588,0.0296601,0.799111,-1.92413,-0.64373,0.674099,725.888,4.22674,0.997756
"user_skill_raw[13,5]",0.0198341,0.0298564,1.03113,-1.78742,0.0120114,1.74732,1192.75,6.94523,0.997641
"user_skill_raw[13,6]",0.0033816,0.0313824,0.973906,-1.68487,0.0795884,1.53932,963.081,5.60788,1.00336
"user_skill_raw[13,7]",0.0244671,0.0301058,1.02732,-1.69046,-0.0243614,1.81564,1164.44,6.78034,0.998579
"user_skill_raw[13,8]",-0.0216719,0.035223,1.00847,-1.71095,-0.0245326,1.63,819.737,4.77321,0.997138
"user_skill_raw[13,9]",-0.0560429,0.0337464,1.0109,-1.7391,-0.0382244,1.52237,897.345,5.22511,1.00081
"user_skill_raw[14,1]",-0.0259577,0.0263163,0.989178,-1.70542,-0.0202477,1.62076,1412.85,8.22685,0.999786
"user_skill_raw[14,2]",-0.822287,0.0286093,0.729963,-2.14933,-0.775182,0.263094,651.01,3.79074,1.00069
"user_skill_raw[14,3]",0.120804,0.0370952,0.98508,-1.73153,0.202321,1.64047,705.193,4.10624,0.999199
"user_skill_raw[14,4]",0.0348492,0.0315439,0.905808,-1.51314,0.0887555,1.46231,824.597,4.80151,1.00146
"user_skill_raw[14,5]",0.0528017,0.045857,1.04898,-1.6881,0.0399016,1.79507,523.27,3.04693,0.999573
"user_skill_raw[14,6]",-0.00887141,0.028355,0.935096,-1.53662,-0.061789,1.57383,1087.56,6.33271,0.997257
"user_skill_raw[14,7]",-0.00118058,0.0365473,1.10559,-1.84898,-0.0201289,1.81134,915.128,5.32866,0.999538
"user_skill_raw[14,8]",0.013888,0.0243352,0.971527,-1.58188,0.0139371,1.56384,1593.82,9.28057,0.99736
"user_skill_raw[14,9]",-0.00456693,0.0280504,1.02208,-1.67837,0.00701833,1.63722,1327.68,7.73088,0.997353
"user_skill_raw[15,1]",-0.025431,0.0349545,0.931605,-1.45036,-0.0417327,1.58313,710.325,4.13612,0.999915
"user_skill_raw[15,2]",-0.174638,0.0247924,0.879642,-1.69951,-0.0992934,1.1795,1258.85,7.33009,0.997554
"user_skill_raw[15,3]",-0.0174793,0.0290409,0.759579,-1.45109,0.0764269,1.11276,684.111,3.98348,0.998324
"user_skill_raw[15,4]",0.00796953,0.0273859,0.911957,-1.44758,-0.0382225,1.53458,1108.91,6.45702,0.996956
"user_skill_raw[15,5]",-0.450277,0.0268829,0.861725,-1.87607,-0.434066,0.85494,1027.51,5.98303,0.998596
"user_skill_raw[15,6]",0.0240934,0.0397004,1.03933,-1.63067,0.0582709,1.65251,685.361,3.99076,0.999617
"user_skill_raw[15,7]",-0.00220074,0.0299179,1.00822,-1.74086,0.0242827,1.68444,1135.67,6.61284,0.998765
"user_skill_raw[15,8]",0.00613293,0.0262598,0.978768,-1.61281,0.0189922,1.60091,1389.23,8.08931,0.996871
"user_skill_raw[15,9]",0.00416311,0.0313913,0.936768,-1.58113,-0.0179294,1.57479,890.523,5.18539,0.997018
"user_skill_raw[16,1]",-0.0136167,0.0319734,0.940141,-1.52786,-0.0229788,1.60148,864.589,5.03438,1.00674
"user_skill_raw[16,2]",-0.367865,0.0242182,0.676734,-1.6083,-0.325415,0.632099,780.821,4.54661,0.998585
"user_skill_raw[16,3]",0.0821549,0.0394885,0.945008,-1.58847,0.0960851,1.57284,572.704,3.33477,1.00007
"user_skill_raw[16,4]",-0.0142193,0.0300473,1.06688,-1.79007,0.00733261,1.67912,1260.71,7.34096,0.999562
"user_skill_raw[16,5]",-0.0314912,0.0251572,1.02425,-1.86644,-0.0612973,1.73229,1657.63,9.65213,0.997507
"user_skill_raw[16,6]",0.020514,0.031945,1.01553,-1.62205,-0.0452044,1.66465,1010.6,5.88459,1.00039
"user_skill_raw[16,7]",-0.0272302,0.0270729,0.872936,-1.49228,-0.0354696,1.43492,1039.67,6.05385,0.998832
"user_skill_raw[16,8]",-0.0515729,0.0362005,1.03927,-1.71305,-0.0128946,1.70097,824.184,4.79911,0.996801
"user_skill_raw[16,9]",0.0454978,0.034262,0.999251,-1.5826,0.0284531,1.70413,850.596,4.9529,0.998527
"user_skill_raw[17,1]",-0.0112706,0.0352114,1.0176,-1.62441,-0.0563849,1.63122,835.197,4.86323,0.998557
"user_skill_raw[17,2]",-0.483265,0.0339844,0.759875,-1.79594,-0.406826,0.662175,499.948,2.91113,1.00011
"user_skill_raw[17,3]",0.296098,0.0318766,0.904901,-1.30743,0.35575,1.68683,805.855,4.69238,0.997403
"user_skill_raw[17,4]",-0.0699226,0.0248685,0.955361,-1.58547,-0.0937606,1.5549,1475.83,8.59352,0.997637
"user_skill_raw[17,5]",0.00841438,0.0326118,1.0937,-1.83932,0.0304621,1.83856,1124.73,6.54915,0.998624
"user_skill_raw[17,6]",-0.0228281,0.0381947,1.00454,-1.67925,-0.0534049,1.63197,691.724,4.02781,0.998101
"user_skill_raw[17,7]",0.0222062,0.0266325,1.08734,-1.86381,0.0721922,1.80362,1666.89,9.70607,0.998197
"user_skill_raw[17,8]",-0.0512287,0.0312218,1.0491,-1.8744,-0.0123425,1.65179,1129.07,6.57441,0.997987
"user_skill_raw[17,9]",0.0165218,0.0322654,0.964021,-1.67356,0.0330389,1.64123,892.687,5.19799,0.999336
"user_skill_raw[18,1]",0.000361185,0.0301613,0.995557,-1.66057,-0.0272327,1.72884,1089.51,6.34407,0.998121
"user_skill_raw[18,2]",-0.267428,0.0348103,0.686639,-1.41138,-0.177033,0.766261,389.082,2.26557,0.997577
"user_skill_raw[18,3]",-0.31144,0.0291801,0.878988,-1.71367,-0.281231,1.04006,907.387,5.28359,0.998026
"user_skill_raw[18,4]",0.250247,0.0353961,0.849105,-1.21306,0.242238,1.57952,575.457,3.3508,1.00178
"user_skill_raw[18,5]",0.0221914,0.0345629,0.929945,-1.61002,0.0260005,1.54519,723.927,4.21532,0.997435
"user_skill_raw[18,6]",0.0511601,0.0389254,0.997841,-1.54973,0.0928361,1.77509,657.138,3.82642,0.999708
"user_skill_raw[18,7]",-0.0279082,0.0321398,0.993426,-1.71409,-0.0224835,1.59857,955.397,5.56314,0.997118
"user_skill_raw[18,8]",-0.00971637,0.0431069,0.984416,-1.57011,-0.0335903,1.77608,521.511,3.03668,1.00226
"user_skill_raw[18,9]",0.0187506,0.0305637,1.03833,-1.66212,0.0367564,1.70617,1154.14,6.72039,0.997135
"user_skill_raw[19,1]",0.0221238,0.034012,1.0021,-1.59786,0.00314791,1.66699,868.077,5.05469,0.999982
"user_skill_raw[19,2]",0.895706,0.0316054,0.820999,-0.56849,0.958326,2.21844,674.782,3.92916,1.00282
"user_skill_raw[19,3]",1.50821,0.0494857,0.968918,-0.273855,1.61864,2.95013,383.367,2.23229,1.00158
"user_skill_raw[19,4]",0.406319,0.03153,0.975403,-1.25741,0.41485,2.0452,957.015,5.57256,0.996814
"user_skill_raw[19,5]",0.03806,0.0364039,0.945676,-1.5963,0.0867253,1.54708,674.821,3.92938,0.997048
"user_skill_raw[19,6]",0.0224486,0.0282392,1.00387,-1.64137,0.00813103,1.66898,1263.71,7.35839,0.998242
"user_skill_raw[19,7]",-0.0224152,0.0304777,0.988741,-1.53575,-0.0166231,1.49034,1052.45,6.12827,0.997218
"user_skill_raw[19,8]",0.0524506,0.0311757,1.00748,-1.59595,0.0405061,1.62201,1044.34,6.08105,0.99816
"user_skill_raw[19,9]",0.0609699,0.0412967,1.05669,-1.52964,0.0014272,1.79797,654.739,3.81245,0.997057
"user_skill_raw[20,1]",0.031409,0.039278,1.01445,-1.62039,0.0339866,1.66639,667.062,3.88421,1.00213
"user_skill_raw[20,2]",-0.767375,0.0258716,0.677608,-1.9183,-0.73929,0.333093,685.977,3.99435,1.00042
"user_skill_raw[20,3]",0.0744976,0.0289181,0.877664,-1.39341,0.148146,1.44168,921.12,5.36355,0.998734
"user_skill_raw[20,4]",-0.00306279,0.0310102,0.941642,-1.60716,0.0534215,1.48686,922.066,5.36906,1.00416
"user_skill_raw[20,5]",-0.0452921,0.0333188,0.940733,-1.60708,-0.0923023,1.52371,797.175,4.64184,0.996735
"user_skill_raw[20,6]",-0.0123184,0.0339808,0.985193,-1.69016,0.0483866,1.63142,840.574,4.89454,0.998842
"user_skill_raw[20,7]",-0.0158924,0.0277924,0.943276,-1.56859,-0.0152966,1.48916,1151.93,6.70752,0.99779
"user_skill_raw[20,8]",-0.00148193,0.0286288,0.937185,-1.48623,-0.00277566,1.56493,1071.63,6.23994,0.998143
"user_skill_raw[20,9]",0.0243639,0.0288621,1.07031,-1.54467,-0.0135329,1.90544,1375.19,8.00756,1.00004
"user_skill_raw[21,1]",0.0106153,0.0340227,0.994501,-1.55938,0.015432,1.63314,854.425,4.9752,0.997275
"user_skill_raw[21,2]",-0.547646,0.0278469,0.79404,-1.89096,-0.478712,0.634731,813.077,4.73443,0.997316
"user_skill_raw[21,3]",-0.337689,0.033997,0.812207,-1.83546,-0.26163,0.846974,570.76,3.32345,0.99777
"user_skill_raw[21,4]",-0.348097,0.0420906,0.954088,-2.04418,-0.273264,1.1961,513.814,2.99187,1.00032
"user_skill_raw[21,5]",0.00658155,0.034623,0.887223,-1.5768,0.0248501,1.41371,656.653,3.8236,0.997622
"user_skill_raw[21,6]",-0.00134115,0.027824,0.897478,-1.4491,0.0188329,1.40076,1040.42,6.05824,0.998626
"user_skill_raw[21,7]",-0.00521087,0.0345503,1.00563,-1.71521,0.00917022,1.69662,847.172,4.93296,0.999598
"user_skill_raw[21,8]",-0.0572427,0.0339912,0.995859,-1.55254,-0.0990307,1.67962,858.349,4.99804,0.99813
"user_skill_raw[21,9]",-0.0142253,0.0328167,0.97405,-1.68857,0.0156984,1.58818,880.993,5.1299,0.99972
