,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
log_lik[8793],-0.770833,0.00934424,0.275274,-1.18578,-0.781531,-0.286895,867.847,5.05335,0.998496
log_lik[8794],-0.827676,0.0129002,0.324796,-1.28984,-0.85423,-0.280022,633.908,3.69115,1.00008
log_lik[8795],-0.641414,0.0108231,0.309447,-1.2677,-0.542369,-0.328495,817.46,4.75995,0.997457
log_lik[8796],-0.37993,0.00605857,0.119809,-0.608174,-0.342598,-0.283992,391.055,2.27706,0.997067
log_lik[8797],-0.43833,0.00887618,0.213314,-0.814216,-0.367938,-0.28496,577.545,3.36296,1.002
log_lik[8798],-0.489642,0.00922644,0.208269,-0.881531,-0.421695,-0.304443,509.541,2.96698,1.00003
log_lik[8799],-0.682889,0.0132469,0.323733,-1.2138,-0.678137,-0.182682,597.236,3.47762,1.00315
log_lik[8800],-0.649314,0.0101641,0.287106,-1.15327,-0.62798,-0.201918,797.898,4.64605,1.00436
log_lik[8801],-0.725623,0.0148876,0.419979,-1.56716,-0.592762,-0.325986,795.807,4.63387,0.997008
log_lik[8802],-0.603498,0.0108692,0.283865,-1.18621,-0.512411,-0.339368,682.069,3.97159,0.99957
log_lik[8803],-0.48465,0.00597306,0.174712,-0.861852,-0.425503,-0.312892,855.566,4.98184,0.997583
log_lik[8804],-0.626554,0.011587,0.309677,-1.15125,-0.603461,-0.168141,714.287,4.15919,0.999476
log_lik[8805],-0.444119,0.00984206,0.217691,-0.821374,-0.37018,-0.290721,489.227,2.8487,0.996864
log_lik[8806],-1.03887,0.00804858,0.235124,-1.32323,-1.09272,-0.556143,853.405,4.96926,0.997442
log_lik[8807],-0.736571,0.0128007,0.316269,-1.22816,-0.740014,-0.220934,610.441,3.55451,0.999948
log_lik[8808],-0.509736,0.0142384,0.301757,-1.05277,-0.396196,-0.29749,449.15,2.61534,0.996995
log_lik[8809],-0.955706,0.011102,0.303404,-1.32267,-1.01559,-0.36647,746.867,4.3489,1.00027
log_lik[8810],-0.673635,0.0144818,0.398767,-1.28922,-0.664082,-0.0753332,758.219,4.415,0.997361
log_lik[8811],-0.57801,0.0112485,0.277507,-1.16292,-0.492099,-0.321079,608.637,3.54401,0.998618
log_lik[8812],-1.06366,0.0110427,0.293139,-1.373,-1.1575,-0.427,704.688,4.1033,1.00217
log_lik[8813],-0.521014,0.0110593,0.244029,-1.04791,-0.441565,-0.318813,486.889,2.83509,1.00426
log_lik[8814],-0.504261,0.0233221,0.374654,-1.25902,-0.402787,-0.0609536,258.062,1.50266,1.00046
log_lik[8815],-0.38321,0.00868245,0.238249,-0.854808,-0.330822,-0.100341,752.97,4.38444,0.997987
log_lik[8816],-0.532246,0.00897366,0.295009,-1.02835,-0.492825,-0.109823,1080.76,6.29311,0.997695
log_lik[8817],-0.459778,0.00806293,0.185077,-0.864684,-0.393114,-0.300024,526.888,3.06799,0.999471
log_lik[8818],-0.502559,0.0082882,0.211266,-0.872353,-0.437584,-0.311782,649.74,3.78334,0.997614
log_lik[8819],-0.329229,0.00857167,0.227149,-0.802174,-0.267706,-0.0669345,702.251,4.08911,0.997699
log_lik[8820],-0.468373,0.00695139,0.195977,-0.858374,-0.403322,-0.305001,794.816,4.6281,1.00082
