gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.19242,0.733476,0.934472,5.83361,0.9793
0.195896,0.735997,0.966981,5.83185,0.99186
0.195428,0.728932,1.02819,5.83633,0.990213
0.189774,0.739758,0.933694,5.83499,0.985444
0.198247,0.724254,0.942138,5.83754,0.991453
0.194639,0.730556,0.893105,5.83561,0.98558
0.187563,0.741985,0.966397,5.83594,0.988734
0.191324,0.719578,1.0393,5.83796,0.99413
0.197324,0.726416,0.904869,5.82816,0.986123
0.193142,0.727316,0.841806,5.82816,0.98955
0.197416,0.738284,0.906658,5.83324,0.988539
0.19116,0.734401,0.976833,5.82865,0.997186
0.188238,0.722113,0.982989,5.83176,0.994089
0.19643,0.727375,0.98011,5.82635,0.980993
0.190693,0.742504,1.07273,5.84497,0.993216
0.189575,0.730177,0.982636,5.82754,0.994276
0.190071,0.720599,0.888106,5.83694,0.985849
0.189595,0.741166,1.03733,5.83087,0.988492
0.19875,0.731522,0.998685,5.832,0.992383
0.197669,0.721294,1.00945,5.83554,0.986914
0.195069,0.735671,1.04104,5.82749,0.993087
0.189937,0.735258,0.937487,5.83919,0.992011
0.19177,0.720979,0.889907,5.82437,0.98447
0.193789,0.71794,0.960689,5.83937,0.986526
0.190244,0.726045,0.965415,5.82917,0.984023
0.194441,0.723856,0.96344,5.82769,0.987779
0.195,0.730125,0.96642,5.82617,0.981318
0.186951,0.733116,0.913133,5.83034,0.988451
0.195844,0.736165,0.939354,5.83427,0.991497
0.188171,0.710423,0.934894,5.8322,0.979036
0.189252,0.73639,0.920091,5.84058,0.990657
0.201605,0.725786,0.926466,5.83356,0.986004
0.189404,0.73944,0.963608,5.83394,0.988494
0.192658,0.736685,0.896451,5.84093,0.990406
0.190336,0.714536,0.854005,5.8344,0.994004
0.186572,0.723742,0.913845,5.84087,0.990435
0.195831,0.709764,0.951484,5.83085,0.98933
0.19304,0.740411,0.943871,5.82502,0.991128
0.195536,0.72612,0.941022,5.83105,0.990124
0.191247,0.728714,0.959404,5.83132,0.984163
0.192356,0.71621,0.883602,5.83601,0.98777
0.19756,0.712455,0.88176,5.8396,0.987538
0.18736,0.731235,0.966649,5.83441,0.988196
0.191949,0.723217,0.923336,5.82508,0.994371
0.196626,0.745481,1.00931,5.82662,0.990607
0.200226,0.729498,0.965109,5.83885,0.986694
0.192852,0.725501,0.966445,5.82406,0.985093
0.19059,0.715035,1.00476,5.82905,0.98882
