,gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
count,2000.0,2000.0,2000.0,2000.0,2000.0
mean,0.192885429,0.728352346,0.9403690490000001,5.8327659249999995,0.9877346575
std,0.0035150435377808978,0.009113940609088754,0.054711088369551665,0.0055905091128130024,0.003986800151489625
min,0.180971,0.698692,0.710706,5.81555,0.974293
25%,0.190392,0.72244025,0.90414375,5.8289275,0.9850015
50%,0.1928725,0.7284025000000001,0.9403365,5.832725,0.987725
75%,0.19530550000000002,0.7342865000000001,0.97829475,5.8365124999999995,0.99038775
max,0.203555,0.76041,1.11143,5.85097,1.00106
