metric,n_parameters
$\hat{R} > 1.05$,0
$\hat{R} > 1.01$,789
$0.99 \leq \hat{R} \leq 1.01$,295567
$\hat{R} < 0.99$,0
$\hat{R}$ is NaN,0
Total rows in summary,296356
