i,mean,sd,q05,q50,q95,neff,rhat
1,0.665349,0.738358,-0.553864,0.678855,1.90395,1666.89,0.997206
2,-0.330068,0.865912,-1.75327,-0.340254,1.11433,1135.82,0.99978
3,0.256974,0.844916,-1.12683,0.261589,1.63261,1237.87,0.99816
4,0.0855964,0.894029,-1.41206,0.0701855,1.63977,1513.1,0.99722
5,-0.91013,0.793995,-2.22546,-0.854306,0.309691,1666.89,0.997047
6,-0.443527,0.935334,-1.97692,-0.450952,1.07827,1067.81,1.00097
7,0.559723,0.862834,-0.899934,0.538533,2.02071,1652.63,0.998684
8,0.545473,0.958074,-1.03058,0.557076,2.17947,1666.89,0.996863
9,-0.934646,0.745387,-2.23609,-0.894058,0.263148,918.965,0.998688
10,0.326544,0.938715,-1.25518,0.343186,1.81138,1533.88,0.99797
11,-0.26065,1.02302,-1.93007,-0.290602,1.5038,1202.39,1.00006
12,-0.219839,0.962144,-1.81814,-0.226932,1.35343,1561.55,0.997018
13,-0.582764,0.960931,-2.2207,-0.607669,1.06116,1270.7,0.996881
14,-0.223053,0.895056,-1.61295,-0.247366,1.33385,1378.56,0.99991
15,0.838195,0.689211,-0.201806,0.769832,2.03757,847.158,0.997248
16,0.236635,0.922359,-1.1993,0.203349,1.79283,867.04,0.998248
17,-0.298842,1.03238,-2.07497,-0.285571,1.34344,970.408,0.998753
18,-0.144749,0.682529,-1.39368,-0.151686,0.983851,839.688,0.99913
19,-0.240865,0.825834,-1.55282,-0.247593,1.10855,1460.39,0.998614
20,-0.194225,0.997271,-1.84983,-0.167618,1.42331,790.046,0.998499
21,-0.226444,0.956048,-1.70984,-0.229954,1.3284,1245.03,0.998533
22,-0.865216,0.725035,-2.1418,-0.86317,0.293801,898.726,0.997429
23,-1.11666,0.648744,-2.22723,-1.08162,-0.123437,1153.23,0.99694
24,-0.046458,0.93572,-1.56194,-0.0445622,1.41642,1149.83,0.996883
25,-0.184035,0.954981,-1.74697,-0.211318,1.38284,647.862,0.999186
26,-0.244451,1.04498,-2.00911,-0.263033,1.46099,1666.89,0.999614
27,0.636112,0.775203,-0.634158,0.614094,1.98685,1103.33,0.999314
28,0.173107,0.962658,-1.36588,0.170716,1.8011,1495.23,0.998966
29,-0.441115,0.897682,-1.8273,-0.458064,0.953217,1152.45,0.997264
30,-1.17637,0.633203,-2.26312,-1.15984,-0.139778,1132.18,1.00284
31,-0.456426,0.989722,-2.12249,-0.487703,1.2106,1003.09,0.997941
32,-0.55199,0.747575,-1.69632,-0.575694,0.672552,913.781,0.998389
33,-0.287377,0.98637,-1.91694,-0.324965,1.37916,1402.68,0.998064
34,0.244687,0.959282,-1.33149,0.267931,1.90971,1666.89,0.998611
35,-0.958521,0.750534,-2.13084,-0.927869,0.251686,1381.43,0.997626
36,0.45494,0.992415,-1.19639,0.457921,2.1104,931.515,1.00014
37,0.431965,0.968415,-1.10136,0.454962,1.9701,1628.11,0.997573
38,0.51024,0.873397,-0.85471,0.503134,1.97839,1630.17,0.997133
39,-0.224018,1.05294,-1.79825,-0.274246,1.47045,920.901,0.999004
40,0.677214,0.813493,-0.702642,0.682978,1.99051,1357.08,0.999408
41,0.620505,0.822315,-0.699587,0.599876,1.9492,1084.78,1.0016
42,0.223365,0.996498,-1.41872,0.260928,1.73719,947.858,1.00028
43,0.21654,0.923645,-1.39281,0.20522,1.73865,1604.26,0.998459
44,0.355287,0.816618,-1.04501,0.367733,1.6797,1291.22,0.997218
45,-0.169554,0.863554,-1.63666,-0.153607,1.25396,1666.89,0.99704
46,0.210569,0.948991,-1.34257,0.237385,1.72591,1403.14,0.997394
47,-0.209677,0.927608,-1.72208,-0.237017,1.34678,1271.39,0.998103
