param,Mean,StdDev,5%,50%,95%,N_Eff,R_hat
gamma_base,0.225029,0.018906,0.191579,0.226726,0.254968,31.533831,1.036609
gamma_fast_delta,0.061681,0.037421,0.007106,0.060622,0.12613,865.01369,0.997765
alpha,0.820957,0.023707,0.784034,0.821046,0.857045,112.366135,1.009008
beta_time,0.949897,0.042145,0.886905,0.943519,1.01477,1106.206305,0.997744
mu_log_time,5.854604,0.006747,5.8434,5.8543,5.86594,791.513213,0.998418
sigma_log_time,0.995295,0.004956,0.98738,0.995292,1.00323,741.090105,0.999519
