,gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
count,800.0,800.0,800.0,800.0,800.0
mean,0.312254725,0.702218025,0.96617987125,5.829729325000001,0.9960716550000001
std,0.005252629305419355,0.006888107357292125,0.04470229475457697,0.006614909964366146,0.0057839190076741384
min,0.298511,0.680641,0.834365,5.81136,0.97885
25%,0.3083925,0.697865,0.9364874999999999,5.82511,0.992155
50%,0.3124905,0.702464,0.9668954999999999,5.829475,0.9962044999999999
75%,0.31601500000000005,0.7066885,0.99734725,5.8343825,1.0001224999999998
max,0.327749,0.728785,1.11789,5.85071,1.01899
