gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.306103,0.699516,0.895048,5.8249,0.998834
0.308924,0.697325,0.996429,5.83732,0.994791
0.302848,0.692346,1.04138,5.83191,1.00521
0.300078,0.709416,0.853442,5.84081,0.998315
0.315909,0.703371,1.04339,5.82461,0.990688
0.30331,0.70544,0.969894,5.83154,0.995073
0.306672,0.697299,1.04421,5.83856,0.989762
0.311799,0.69682,0.91931,5.82716,1.00091
0.315322,0.705688,0.947142,5.84052,0.998864
0.31532,0.691569,0.897124,5.82437,0.989133
0.304212,0.703393,0.867376,5.83275,0.998636
0.314455,0.698678,0.92047,5.82806,1.00283
0.30026,0.702274,0.943609,5.83065,0.985623
0.316882,0.69964,1.04175,5.82899,0.997227
0.307092,0.707921,1.00156,5.83543,0.994288
0.310896,0.699473,0.936601,5.83555,0.993396
0.31253,0.701515,0.889551,5.83511,0.995925
0.308931,0.694277,0.937606,5.82255,0.998382
0.312607,0.700758,0.98685,5.82372,1.00274
0.318347,0.691288,0.92238,5.84369,0.993884
0.303878,0.702984,0.945601,5.82893,0.99456
0.312668,0.704459,0.936096,5.82775,0.993611
0.317259,0.690818,0.997892,5.82516,0.986498
0.316512,0.700768,1.01426,5.81863,0.986381
0.303761,0.696843,0.922029,5.82907,0.996856
0.310832,0.710268,1.00253,5.83021,1.00241
0.31293,0.699459,0.993798,5.82551,0.99733
0.309734,0.698408,0.992876,5.82185,0.997099
0.314429,0.696331,0.924174,5.83485,0.989763
0.315449,0.713059,0.947575,5.83477,0.994192
0.307915,0.711102,0.967836,5.81718,0.988816
0.310898,0.688897,0.866388,5.83876,0.985996
0.313616,0.697591,0.907518,5.82511,0.995056
0.31168,0.70492,0.982534,5.82248,0.990188
0.301971,0.708018,0.967963,5.82887,0.99423
0.31431,0.696378,1.00603,5.83479,0.998265
0.304192,0.697479,0.903457,5.82879,0.997843
0.315906,0.71149,0.959833,5.82425,0.998309
0.315549,0.69739,0.995018,5.82632,0.998541
0.316186,0.705065,1.01626,5.82507,0.99627
0.30048,0.699409,0.924657,5.83456,0.998118
0.315234,0.709554,1.02616,5.83408,1.00442
0.30574,0.694736,0.986452,5.82374,0.991084
0.30304,0.708138,1.02571,5.83896,0.995639
0.317066,0.695266,0.915896,5.82817,0.993142
0.311401,0.704335,1.01227,5.83247,0.994756
0.310995,0.705586,0.92088,5.82552,0.995815
0.303297,0.709387,0.953927,5.81672,1.00588
0.311082,0.704185,0.987911,5.84465,0.996478
0.304489,0.693211,0.952225,5.83145,1.00048
0.312711,0.697966,0.966227,5.82905,0.97885
0.317924,0.703616,0.979744,5.8341,0.983001
0.305046,0.71274,0.854632,5.81878,0.991793
0.316152,0.703436,0.946548,5.8355,0.99208
0.31472,0.689253,0.915048,5.82986,0.999531
0.304806,0.693738,0.869858,5.831,1.00542
0.317541,0.699181,1.05206,5.83156,0.995795
0.310705,0.700157,0.968539,5.83856,0.996538
0.307309,0.686959,1.00438,5.83739,0.987728
0.314369,0.694953,0.978438,5.82982,0.986567
0.313171,0.710578,0.985568,5.83363,0.992108
0.314244,0.702851,0.912472,5.82628,0.98455
0.314778,0.703085,0.973121,5.82902,0.994527
0.32111,0.698486,0.904146,5.81769,0.99206
0.305418,0.700738,0.936383,5.83052,1.00006
0.318509,0.710036,0.969651,5.83124,0.995713
0.315245,0.702952,0.956324,5.83179,0.987804
0.312155,0.709457,0.914338,5.82654,0.995175
0.307403,0.696754,0.952539,5.83163,0.990275
0.30947,0.706623,0.888115,5.82199,1.00758
0.315821,0.708837,0.937441,5.83721,0.992044
0.319779,0.706672,0.96668,5.82914,0.995782
0.307163,0.706622,0.890057,5.83998,0.994022
0.315799,0.714267,0.940464,5.81541,1.00009
0.308679,0.703522,0.942725,5.83468,0.994977
0.316725,0.690291,0.909505,5.82092,0.992215
0.308643,0.714131,0.979201,5.82293,0.989273
0.311491,0.702957,0.995034,5.828,0.987297
0.312541,0.696434,0.971208,5.81596,1.00258
0.312556,0.704884,0.97331,5.8218,1.00365
0.315124,0.695533,0.989722,5.83698,1.00028
0.322593,0.713231,0.906403,5.83486,1.00288
0.318111,0.693055,0.989234,5.83943,1.00083
0.3069,0.710594,0.963347,5.82536,0.99684
0.312316,0.712225,0.953584,5.82826,0.993225
0.314083,0.708693,1.04725,5.82583,0.990962
0.312513,0.701974,0.957876,5.83026,0.993142
0.310689,0.710073,0.946329,5.82295,0.996803
0.309514,0.699019,0.938088,5.83316,0.99841
0.319034,0.704694,1.02051,5.82696,0.996778
0.317017,0.691805,0.955256,5.82747,0.99497
0.316267,0.694102,0.923839,5.82587,0.988432
0.312419,0.723831,1.01252,5.8312,0.996797
0.317468,0.699824,0.946028,5.8366,0.998942
0.309954,0.713975,0.970308,5.83456,1.00143
0.318438,0.71083,0.917467,5.83414,1.00586
0.310539,0.69603,0.980771,5.81765,1.00088
0.313909,0.70388,0.9105,5.82676,0.988467
0.311763,0.712018,1.00705,5.83315,0.994514
0.307636,0.69359,0.915225,5.8262,0.995539
0.318544,0.701374,0.934216,5.83737,1.00293
0.323303,0.693996,0.897521,5.83841,0.987519
0.315049,0.703173,0.94288,5.82531,0.995331
0.309094,0.721992,0.98911,5.83229,1.00087
0.311491,0.7133,0.894727,5.82943,0.998493
0.317253,0.693635,1.08273,5.82484,1.00494
0.316071,0.711927,0.946416,5.83023,0.998349
0.303455,0.713083,0.999383,5.82866,1.00703
0.308264,0.7069,1.04054,5.82486,0.99851
0.308438,0.703576,1.00381,5.83491,0.992025
0.314546,0.704127,0.955562,5.82077,1.00364
0.31405,0.689468,1.04805,5.82945,1.00025
0.322396,0.702456,0.987522,5.83364,1.00286
0.307889,0.692196,0.960748,5.81644,0.989862
0.306623,0.694561,0.946828,5.82785,0.992505
0.308673,0.710956,0.921267,5.8244,1.00031
0.318963,0.702966,0.878852,5.82222,0.998964
0.306276,0.70339,0.914485,5.82393,1.00436
0.312144,0.698419,0.951041,5.84425,0.99535
0.309898,0.712478,1.04838,5.82413,1.00015
0.310796,0.694908,0.921997,5.83235,0.997396
0.304784,0.703615,0.930975,5.83581,0.999191
0.307361,0.701516,1.00095,5.83164,1.00394
0.311599,0.70154,0.905126,5.82334,0.999273
0.311938,0.711025,0.930894,5.83004,1.00141
0.309437,0.708084,1.00416,5.83389,0.996603
0.311252,0.707786,1.01583,5.83028,1.00126
0.316569,0.68824,1.01683,5.82717,0.993706
0.309943,0.705958,0.977434,5.83483,0.99817
0.31628,0.708114,0.960033,5.82747,0.997065
0.311553,0.708458,1.01609,5.83038,0.984786
0.307658,0.698506,1.01783,5.8243,0.986969
0.317805,0.692299,1.02033,5.82763,0.995837
0.313015,0.709066,0.959841,5.82919,0.996393
0.309635,0.698741,1.00727,5.82731,0.987241
0.31316,0.694035,0.926995,5.82477,0.994957
0.32344,0.715408,0.964732,5.83223,0.98562
0.313743,0.694828,0.978251,5.8176,0.992549
0.307018,0.693945,1.04736,5.82305,0.985121
0.306958,0.691471,0.944223,5.83172,1.00366
0.312489,0.698693,1.00307,5.83455,0.993042
